page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Euphotic Gatekeeper (set),Adds 3-129 Stamina Recovery,"When you use Roll Dodge, create a Hadolid Husk after you roll. While within 5 meters of the Hadolid Husk, it will absorb all direct damage attacks against you. After 1 second, the Hadolid Husk explodes, dealing 1155 Poison damage to all enemies within 5 meters. This effect can occur once every 20 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Stamina Recovery,Summon,Dodge Roll Bonus,Area of Effect,Dodge,Monster Helm Sets,Poison Damage,Graven Deep,Undaunted Style,2-Piece Bonus,Head and Shoulders,,,Lost Depths,Lost Depths,,y,,,3-129,,,,,,,the item set,the enemy,The Euphotic Gatekeeper,,Recovery,,,Graven Deep,Urgarlag Chief-bane,The Euphotic Gatekeeper,,,,,,,
Online:Executioner's Blade,,Hidden Blade deals up to 250% more damage to targets under 100% Health when you are standing behind them. Restores 1890 Stamina if the target was below 50% Health.,,,,,,,,,,,Sets,itemset,Skill Bonus,Execute,Increase Damage Dealt,Positioning Bonus,Execute Bonus,Weapon,Restore Stamina,Vateshran Hollows,2-Piece Bonus,One Handed Weapon,Ancestral Reach Style,,,Markarth,Markarth,,,100%,,1890,,,,,,,,,,,,,,,,,,,,,,,
Online:Explosive Rebuke,,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,"When you Block, you place a bomb on the enemy for 10 seconds. When they are hit with a fully-charged Heavy Attack, the bomb detonates, dealing 0 Flame damage to all enemies within 8 meters and applying the Burning status effect to them. This effect can occur once every 8 seconds and scales off the higher of your Physical Resistance or Spell Resistance.",,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Maximum Health,Block Bonus,Heavy Attack Bonus,Heavy Armor,Flame Damage,Vateshran Hollows,Area of Effect,Apply Status Effects,5-Piece Bonus,Heavy Armor,Any Weapon,Markarth,Markarth,Jewelry,y,28-1206 Maximum,Ancestral Reach Style,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Eye of Nahviintaas,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Magicka,"When an ally activates a synergy you have created within 10 seconds, you and the ally who activated the synergy get 12% cost reduction for non-Ultimate abilities for 3 seconds. This effect can occur every 6 seconds per target.",,,,,,,,Sets,itemset,Magicka Recovery,Maximum Magicka,Minor Aegis,Skill Bonus,Synergy Bonus,Light Armor,Reduce Magicka Cost,Sunspire,Reduce Stamina Cost,Reduce Health Cost,5-Piece Bonus,Light Armor,Any Weapon,Elsweyr,Elsweyr,Jewelry,,,Sunspire Style,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Eye of the Grasp,,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"When you deal Critical Damage, generate 7 Ultimate. This effect can occur once every 5 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Critical,Critical Damage Bonus,Light Armor,Ultimate Gain,The Deadlands,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Fargrave Guardian Style,The Deadlands,The Deadlands,,y,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,7,
Online:Eyes of Mara,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Reduces the cost of your Restoration Staff abilities by 15%.,,,,,,,,Sets,itemset,Magicka Recovery,Weapon/Spell Damage,Maximum Magicka,Reduce Magicka Cost,Reduce Ultimate Cost,All Weights,Skill Bonus,Mara's Eye Manufactory,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,,,Jewelry,y,,Crafting Site(s),,3-129,,,,,,,,,Recovery,,,Mara's Eye Manufactory,,,,,,,,,,
Online:False God's Devotion,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance,"Reduces the cost of your Magicka abilities by 8%. When an enemy you recently damaged dies, you restore 57-2454 Magicka and gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%. These effects can occur once every second.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Minor Slayer,Reduce Magicka Cost,Kill Bonus,Light Armor,Restore Magicka,Sunspire,Major Expedition,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Elsweyr,Elsweyr,Sunspire Style,,,,,57-2454,,,,,,,,,,,,,,,,,,,,,,
Online:Farstrider,,Adds 34-1487 Armor,Adds 9-421 Critical Resistance,Adds 15-657 Critical Chance,"When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, decrease the Critical Resistance of your enemy by 40% and increase your Critical Resistance by an equal amount for 10 seconds. This effect can occur once every 7 seconds.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Weapon/Spell Critical,Maximum Stamina,Gap Close Bonus,Direct Damage Bonus,Medium Armor,Reduce Enemy Defense,Battlegrounds,Critical Resistance,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Militant Ordinator Style,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Fasalla's Guile,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,"While in combat, every 1 second you apply Minor Defile to enemies within 5 meters of you for 2 seconds, reducing their healing received and damage shield strength by 6%.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Double Maximum Health,Physical/Spell Resistance,Area of Effect,Heavy Armor,Distance Bonus,Elite Gear Vendors,Minor Defile,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,,,Alliance Style,,28-1206 Maximum,Alliance Point Cost,,,,,,,,,,,,,,,,,,,,,,,,
Online:Faun's Lark Cladding,"If you continuously Sprint for 1 second, you gain the ability to pass through enemies. Enemies you pass through become Charmed for 4 seconds, removing their ability to attack or cast abilities as they move toward you. Charming an enemy this way restores 678 Stamina and Magicka to you, and heals you for 678 Health. Charming an enemy removes you from Stealth.",,,,,,,,,,,,Sets,itemset,Sprint Bonus,Restore Health,Crowd Control,Restore Stamina,Restore Magicka,Medium Armor,1-Piece Bonus,Antiquities,Medium Armor,Unique Style,,,,Greymoor,Firesong,,,678,,678,,5,,,,,the antiquity,the achievement,Faun's Lark Cladding (achievement),,,,,,,,,armor,Faun's Lark Cladding,m,Mythic,,right
Online:Fellowship's Fortitude,,,,,Adds 172-7425 Armor,,,,,Adds 140-6020 Maximum Health,,"Gain Major Protection, reducing your damage taken by 10%.",Sets,itemset,Physical/Spell Resistance,Major Protection,Maximum Health,12-Piece Bonus,Light Armor,All Weights,Medium Armor,Fellowship Forge,Heavy Armor,Any Weapon,Jewelry,Crafting Site(s),,2025 Content Pass,Seasons of the Worm Cult,,,140-6020 Maximum,,,,,,,,,,,,,,,Fellowship Forge,,,,,,,,,,
Online:Fiord's Legacy,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Stamina Recovery,Reduces the cost and increases the Movement Speed bonus of Sprint by 15%.,,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Stamina Recovery,Improved Sprint,Medium Armor,Reduce Sprint Cost,Eastmarch,Increase Movement Speed,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Nord Style,y,,,3-129,,2,,7661,1,Darkwater Hand Warmers,,,,,Recovery,,,,,,,,,,,,
Online:Flame Blossom,,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Offensive Penetration,"When you deal damage, you summon a line of flame that moves forward after 1 second, dealing 1537 Flame damage to any enemy in its path and applying the Burning status effect. This effect can occur once every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Magicka,Physical/Spell Penetration,Weapon/Spell Damage,Physical/Spell Penetration,Flame Damage,Light Armor,Area of Effect,Bloodroot Forge,Apply Status Effects,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Horns of the Reach,Horns of the Reach,Bloodforge Style,y,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Flanking Strategist,,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-400 Weapon Damage and Spell Damage to your damaging abilities when you attack an enemy from behind or their sides.,,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Damage,Positioning Bonus,Medium Armor,5-Piece Bonus,Gold Coast,Medium Armor,Any Weapon,Jewelry,Order of the Hour Style,,Dark Brotherhood,Dark Brotherhood,,y,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Fledgling's Nest,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Magicka,"While in combat, casting an ability that leaves an effect on the ground creates an 8 meter Gryphon Nest for 10 seconds. You and group members inside the Nest gain 168 Magicka and Stamina Recovery. The first time you or a group member leaves the Nest, they gain Minor Courage for 10 seconds, increasing their Weapon Damage and Spell Damage by 215. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Double Maximum Magicka,Maximum Magicka,Area of Effect Bonus,Area of Effect,Light Armor,Group Bonus,Lep Seclusa,Minor Courage,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Fallen Banners,Fallen Banners,Militant Monk Style,y,,,,3-129,,,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Foolkiller's Ward,,Adds 34-1487 Armor,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,"Bracing while in combat places a damage shield on you and up to 3 group members within 18 meters for 2 seconds that absorbs up to 4000 direct damage. If a damage shield breaks, the wearer of the shield restores 132-5680 Magicka and Stamina. This effect can occur once every 30 seconds if a damage shield broke. This effect can occur once every 10 seconds if no damage shields broke.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Block Bonus,Heavy Armor,Damage Shield,The Cauldron,Distance Bonus,Group Bonus,Restore Magicka,Restore Stamina,5-Piece Bonus,Flames of Ambition,Flames of Ambition,Heavy Armor,,28-1206 Maximum,Any Weapon,,,,Jewelry,,,,,,,,,Waking Flame Style,,,,,,,,,,,
Online:Footman's Fortune,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,Increases the amount of damage you block by 14%.,,,,,,,,Sets,itemset,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Improved Block,Heavy Armor,Heavy Armor,Dragonstar Arena,Any Weapon,Orcish Style,5-Piece Bonus,Any Weapon,Jewelry,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Force Overflow,,"Casting Force Siphon on a target within 15 meters of you causes a surge of magical energy to tether between you for 10 seconds. While the tether persists and you remain in range, you and allies in the tether restore 4-175 Magicka and Stamina every 1 second. This effect can occur once every 10 seconds.",,,,,,,,,,,Sets,itemset,Skill Bonus,Tether,Distance Bonus,Area of Effect,Restore Stamina,Weapon,Restore Magicka,Vateshran Hollows,2-Piece Bonus,Restoration Staff,Ancestral Reach Style,,,Markarth,Markarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Fortified Brass,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,Adds 80-3460 Armor,,,,,,,,Sets,itemset,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Triple Physical/Spell Resistance,All Weights,Reduce Damage Taken,Restricted Brassworks,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Clockwork City,Clockwork City,Jewelry,,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,Restricted Brassworks,,,,,,,,,,
Online:Frenzied Momentum,,"While Momentum is active, casting Stamina abilities while in combat generates a stack of Frenzied Momentum for 20 seconds, increasing your Weapon Damage and Spell Damage by 0-30 up to 10 times. After 5 or more stacks, your next Heavy Attack consumes all stacks and releases a violent explosion of energy around you, dealing 1084 Physical Damage to all enemies within 8 meters, scaling off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Skill Bonus,Heavy Attack Bonus,Weapon/Spell Damage,Physical Damage,Area of Effect,Weapon,2-Piece Bonus,Vateshran Hollows,Two Handed Weapon,Ancestral Reach Style,,,,Markarth,Markarth,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Frostbite,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Increases your damage done with Frost abilities by 8%. Increases your damage done against Chilled enemies by 4%. Increases your damage done against enemies afflicted with Minor Brittle by 2%.,,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Damage,Frost Damage Bonus,Light Armor,Increase Damage Dealt,Blackwood,Status Effect Bonus,Debuff Bonus,5-Piece Bonus,Light Armor,Any Weapon,Blackwood,Blackwood,Jewelry,y,,Ivory Brigade Style,,,2,,174862,1,Stibbons's Slime-Covered Spaulders,,,,,,,,,,,,,,,,,
Online:Frozen Watcher,,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,"Summon a blizzard around you while you are Bracing, inflicting 496 Frost damage every 1 second to enemies within 6 meters. This effect scales off your Max Health and has a 15% chance of inflicting the Chilled status effect.",,,,,,,,Sets,itemset,Maximum Stamina,Double Maximum Stamina,Maximum Health,Block Bonus,Area of Effect,Heavy Armor,Frost Damage,Depths of Malatar,Apply Status Effects,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Wrathstone,Wrathstone,Meridian Style,,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Full Belly Barricade,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,"While you have a food buff active, your Block Mitigation is increased by 0-8% and block cost is reduced by 0-8%.",,,,,,,,Sets,itemset,Maximum Health,Double Maximum Stamina,Maximum Stamina,Consumable Bonus,Reduce Block Cost,Heavy Armor,Improved Block,Solstice,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Tide-Born Style,2025 Content Pass,Seasons of the Worm Cult,,,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Galerion's Revenge,,Adds 15-657 Critical Chance,Adds 9-424 Critical Resistance,Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage with a Light or Heavy Attack, you put a Mark of Revenge on the enemy for 15 seconds. After stacking 5 Marks of Revenge on an enemy they detonate for 1462 Magic Damage. You can only apply a stack once every half second and the damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Magicka Recovery,Light Attack Bonus,Heavy Attack Bonus,Light Armor,Magic Damage,Tel Var Merchants,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,High Elf Style,Imperial City,,Tel Var Cost,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Gallant Charge,,Reduces the cost of Shield Charge by 25% and reduces the cost of your next non-Shield Charge One Handed and Shield ability cast within 3 seconds by 100%.,,,,,,,,,,,Sets,itemset,Skill Bonus,2-Piece Bonus,Reduce Stamina Cost,One Handed Weapon,Shield,Weapon,Honor Guard Style,Blackrose Prison,,,,,,Murkmire,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Gardener of Seasons,,Adds 4% Healing Done,Adds 3-129 Magicka Recovery,Adds 3-129 Weapon Damage and Spell Damage,"Gain Herald of Spring, causing your Green Balance overheals to apply Minor Heroism for 3 seconds. Casting a Heal ability while Bracing consumes Herald of Spring and gives you Harbinger of Fall for 6 seconds, causing your Green Balance overheals to create an 8 meter area for 5 seconds, applying Major Cowardice to enemies and Minor Vitality to allies. You can create an area once every 5 seconds. When Harbinger of Fall ends, regain Herald of Spring.",,,,,,,,Sets,itemset,Increase Healing Done,Weapon/Spell Damage,Magicka Recovery,Skill Bonus,Class Abilities Bonus,All Weights,Healing Bonus,Infinite Archive,Minor Heroism,Block Bonus,Area of Effect,Major Cowardice,Minor Vitality,,,5-Piece Bonus,y,,Light Armor,,3-129,,Medium Armor,,,,,,,Recovery,,Heavy Armor,,,,,,,,,,,
Online:Gaze of Sithis,Reduces your Block Mitigation to 0.,,,,,,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Resistance,Health Recovery,Reduce Damage Taken,Drawbacks,Heavy Armor,1-Piece Bonus,Antiquities,Heavy Armor,Unique Style,,,,Dark Brotherhood,Blackwood,,,3276 Maximum,,,,5,,,,Glass Skeletal Visage,the antiquity,the achievement,Gaze of Sithis (achievement),,,,,,,,,armor,Gaze of Sithis,m,Mythic,,right
Online:Giant Spider (set),Adds 4% Healing Taken,"When you Block an enemy that is between 8 and 22 meters from you, you spin strands of spider silk to pull the enemy to you and taunt them for 15 seconds if they are not already taunted. This effect can occur once every 1 second.",,,,,,,,,,,Sets,itemset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Glacial Guardian,,Adds 34-1487 Armor,Adds 25-1096 Maximum Stamina,Adds 3-129 Health Recovery,"When you Block, tether to the enemy if they are within 8 meters of you for 8 seconds. While tethered, you deal 256 Frost damage every second to enemies touching the tether and cause them to have a 200% increased Status Effect Chance. The tether breaks if the target moves more than 12 meters away. This effect can occur once every 12 seconds and the damage scales off your Max Health.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Health Recovery,Maximum Stamina,Block Bonus,Distance Bonus,Heavy Armor,Area of Effect,Coral Aerie,Tether,Damage Over Time,Frost Damage,Apply Status Effects,5-Piece Bonus,Ascending Tide,Ascending Tide,Heavy Armor,,3-129,Any Weapon,25-1096 Maximum,,,Jewelry,,,,,,,,,Ascendant Order Style,,,,,,,,,,,
Online:Glittering Goad (set),Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a Bash or Heavy Attack deals 812 Frost damage over 8 seconds to the enemy. This effect can occur once every 8 seconds. If the effect completes, the enemy applies Minor Brittle to up to 6 enemies within 12 meters of itself for 10 seconds. If the enemy dies, the enemy releases glittering energy, restoring 847 Magicka and Stamina to you and group members within 12 meters of the defeated enemy.",,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Heavy Attack Bonus,Bash Bonus,Frost Damage,Minor Brittle,Monster Helm Sets,Restore Magicka,Night Market,Restore Stamina,Group Bonus,2-Piece Bonus,Head and Shoulders,Glittering Goad Style,,,,y,,,,,4,,224674,,Curated Glittering Goad Coffers,the item set,the faction,Glittering Goad,,,,,Night Market,Nymisasha,,,,,,,,
Online:Glorgoloch the Destroyer (set),Adds 28-1206 Maximum Health,"While in combat, each second you stand still grants you a stack of Flesh Fortress, up to 10 stacks. Each stack increases your Armor by 8-380 and your Critical Resistance by 0-38. Each second you move removes a stack of Flesh Fortress. Exiting combat removes all stacks of Flesh Fortress. Using charge and teleport abilities do not remove stacks of Flesh Fortress.",,,,,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Resistance,Standing Still Bonus,Critical Resistance,Unique Style,Monster Helm Sets,2-Piece Bonus,Imperial City,Head and Shoulders,,,,,Imperial City,Imperial City,,,28-1206 Maximum,,,,,,,,,the armor set,the boss,Glorgoloch the Destroyer,,,,,Arena District,Tel Var equipment lockbox merchant,Glorgoloch the Destroyer,,,,,,,
Online:Glorious Defender,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,"When you Bash an enemy, you gain Glorious Defense for 10 seconds, allowing you to dodge the next attack made against you and all others afterwards for 1 second. This effect can occur once every 13 seconds.",,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Damage,Double Maximum Health,Bash Bonus,Dodge,Heavy Armor,5-Piece Bonus,Maelstrom Arena (place),Heavy Armor,Any Weapon,Jewelry,Trinimac Style,,Orsinium,Orsinium,,y,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
