page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Daedric Curse,Daedric Summoning,"Curse an enemy with a destructive rune, dealing [7685 / 7770 / 7855 / 7939] Magic Damage to the target and all other nearby enemies after 6 seconds. You can have only one Daedric Curse active at a time.",Daedric Summoning-Daedric Curse,30499,1.6.5,"* Increased the single target damage for all ranks and morphs of this ability by 25%. * Increased the AoE damage from this ability by 15%. * Multiple Sorcerers can now stack this ability on the same target, though you can only have one curse active at any given time. * Removed the morph Explosive Curse. * Daedric Prey: Added this morph to the game, which increases the damage your pets will do to a target affected by your curse by 20%.",Magic Damage,,Area of Effect,"Duration: 12 seconds. Curse an enemy with a destructive rune, dealing [7938 / 8026 / 8113 / 8201] Magic Damage to the target and all other nearby enemies after 3.5 seconds. The curse will continue to haunt the enemy and explode a second time, dealing [7938 / 8026 / 8113 / 8201] Magic Damage to the target and all other nearby enemies after an additional 8.5 seconds. You can have only one Haunting Curse active at a time.",Increase Damage Dealt,,4,2970 Magicka,Enemy,Instant,Multiple Strikes,,ON-skill-Daedric Curse explosion.jpg,Daedric Curse and its morphs' explosion,,,"Cost: [2430 / 2340 / 2250 / 2160] Magicka. Curse an enemy with a destructive rune, dealing 7938 Magic Damage to the target and all other nearby enemies after 6 seconds. While the curse is active, your Daedric Summoning pets prioritize the target and deal an additional 50% damage to them. You can have only one Daedric Prey active at a time.",Daedric Prey,30511,Reduces the cost and your Daedric Summoning pets deal additional damage to the cursed target.,Haunting Curse,30523,Daedric Summoning-Haunting Curse,The curse will continue to haunt the enemy and explode a second time.,Daedric Summoning-Daedric Prey,Magicka Cost,,6 seconds,,Magicka,28 meters,,,,,,,,,,,,5 meters
Online:Daedric Mines,Dark Magic,"Surprise your foes by placing 3 volatile Daedric mines around you, which take 3 seconds to arm and last for 15 seconds. When a mine is triggered it explodes, dealing [6917 / 6990 / 7067 / 7144] Magic Damage and immobilizing the enemy for 2 seconds. Enemies can only be damaged by your mines once every 2 seconds.",Dark Magic-Daedric Mines,29909,1.3.3,* Daedric Tomb: Using this ability will now cast the attack where your reticle is pointing instead of the direction you are facing.,Magic Damage,,Area of Effect,"Carefully form 5 protective Daedric wards around you, which take 3 seconds to arm and last for 15 seconds. When a Daedric ward is triggered it grants you or the ally a damage shield that absorbs [8691 / 8786 / 8882 / 8977] damage for 6 seconds. Targets can only be shielded by Daedric Refuge once every 2 seconds and the shield is capped at 43% of the target's Max Health.",Immobilize,,42,5400 Magicka,Self,Instant,Trap,,ON-skill-Daedric Mines.jpg,Daedric Mines,,,"Range: 28 meters, Target: Ground. Surprise your foes by placing 3 volatile Daedric mines at a target location, which arm instantly and last for 15 seconds. When a mine is triggered it explodes, dealing [7143 / 7223 / 7300 / 7379] Magic Damage and immobilizing the enemy for 2 seconds. Enemies can only be damaged by your mines once every 2 seconds.",Daedric Tomb,29939,You place the mines at a target location instead of around you. The mines arm instantly.,Daedric Refuge,29973,Dark Magic-Daedric Refuge,Converts the mines into protective wards that shield you or allies when they activate.,Dark Magic-Daedric Tomb,Damage Shield,,15 seconds,Magicka Cost,Magicka,,,,,,,,,,,,,
Online:Daedric Protection,Daedric Summoning,Reduce your damage taken by 2% while you have a Daedric Summoning ability active.,Daedric Summoning-Daedric Protection,45200,2.1.4,* This passive now grants 10/20% bonus stamina recovery in addition to its previous effects.,Passive Effect,Passive,Health Recovery,Reduce your damage taken by 5% while you have a Daedric Summoning ability active.,Stamina Recovery,22,,,,,,36,,,31417,45200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Dark Exchange,Dark Magic,"Bargain with darkness to restore [7700 / 7800 / 7900 / 8000] Health and 3600 Magicka instantly, and an additional 2400 Magicka over 20 seconds. The exchange also grants you Minor Berserk for 20 seconds, increasing your damage done by 5%.",Dark Magic-Dark Exchange,30012,1.2.3,* Dark Deal: You can now move while channeling this ability. The increase to your armor and spell resistance has also been removed from this ability.,Heal Self,,Restore Magicka,"Bargain with darkness to restore [9700 / 9800 / 9900 / 10000] Health and [4200 / 4300 / 4400 / 4500] Magicka instantly, and an additional [2850 / 2900 / 2950 / 3000] Magicka over 20 seconds. The exchange also grants you Minor Berserk for 20 seconds, increasing your damage done by 5%.",Restore Stamina,,30,3240 Stamina,Self,1 second,Stamina Cost,,ON-skill-Dark Exchange.jpg,Dark Exchange,,,"Cost: [2970 / 2880 / 2790 / 2700] Magicka, Duration: 10 seconds. Bargain with darkness to restore 8000 Health and 3600 Stamina instantly, and an additional 2400 Stamina over 10 seconds. The exchange also grants you Minor Berserk for 20 seconds, increasing your damage done by 5%.",Dark Deal,30043,Converts Magicka into Health and Stamina instead. Reduces the cost and the time it takes the ability to restore resources.,Dark Conversion,30072,Dark Magic-Dark Conversion,Increases the amount of Health and Magicka restored.,Dark Magic-Dark Deal,Magicka Cost,,20 seconds,Increase Damage Dealt,Stamina,,,,,,,,,,,,,
Online:Dark Moon Totem,Guardian's Commitment,"Zerith-var summons an effigy of bone harboring the souls of fallen Khajiit at the feet of an enemy for 8 seconds and applies fear for 4 seconds. After 2 seconds the totem grants Minor Protection to them and their allies, reducing their damage taken by 5% and begins fearing nearby enemies every 2 seconds, causing them to cower in place for 4 seconds.",Companion-Dark Moon Totem,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,14,11.6 seconds,Area,0.2 seconds,,,,,,,,,,,,,,,,,,,,,22 meters,,6 meters,Fear,Reduce Damage Taken,,,,,,,,
Online:Dark Stalker,Vampire,Ignore the Movement Speed penalty of Sneak. Decreases the time it takes to enter Sneak by 25%.,Vampire-Dark Stalker,46041,1.4.3,* Fixed an issue where you could stack the Dark Stalker passive with the Night's Silence or Shadow Dancer's Raiment item sets to move at mount speed. This is no longer possible-you get the bonus from either Dark Stalker or Night's Silence or Shadow Dancer's Raiment.,Passive Effect,Passive,Increase Movement Speed,Ignore the Movement Speed penalty of Sneak. Decreases the time it takes to enter Sneak by 50%.,Improve Stealth,3,,,,,,7,ON-skill-Dark Stalker.jpg,Moving at full speed while sneaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Dark Talons,Draconic Power,"Call forth talons from the ground, dealing [4612 / 4662 / 4713 / 4764] Flame Damage to enemies near you and immobilizing them for 4 seconds. An ally near the talons can activate the Ignite Synergy synergy, dealing 7687 Flame Damage to all enemies held within them.",Draconic Power-Dark Talons,32111,1.1.2,* This ability can now damage monsters with snare immunity. * Fixed an issue where allies were not able to activate the synergy from Dark Talons. * Reduced the overall radius.,Fire Damage,,Multiple Targets,"Cost: 3240 Magicka. Call forth talons from the ground, dealing 4764 Flame Damage to enemies near you and immobilizing them for 4 seconds. Enemies hit are afflicted with Minor Maim, reducing damage done by 5% for [17 / 18 / 19 / 20] seconds. An ally near the talons can activate the Ignite Synergy synergy, dealing 7687 Flame Damage to all enemies held within them.",Immobilize,,4,3510 Magicka,Area,Instant,Synergy,,ON-skill-Dark Talons.jpg,A Nix-Hound affected by Dark Talons,,,"Call forth talons from the ground, dealing [4764 / 4816 / 4868 / 4921] Flame Damage to enemies near you, an additional [4335 / 4385 / 4430 / 4480] Flame Damage over 5 seconds, and immobilizing them for 4 seconds. An ally near the talons can activate the Ignite Synergy synergy, dealing 7687 Flame Damage to all enemies held within them.",Burning Talons,32123,Deals additional damage over time.,Choking Talons,32135,Draconic Power-Choking Talons,Reduces the cost and affected enemies deal less damage.,Draconic Power-Burning Talons,Damage Over Time,,4 seconds,Reduce Damage Dealt,Magicka,,Magicka Cost,6 meters,,,,,,,,,,
Online:Dark Veil,Shadow,Increases the duration of your Shadow abilities by 1 second. Does not apply to Shadow Cloak or its morphs.,Shadow-Dark Veil,45115,5.0.5,"* Adjusted this passive to grant a flat 1 and 2 second duration increase to Shadow abilities, rather than 8 and 15% duration extensions. The duration of these abilities before allocating this passive have been adjusted to ensure the total duration remains relatively the same to their current Live values.",Passive Effect,Passive,Increase Effect Duration,Increases the duration of your Shadow abilities by 2 seconds. Does not apply to Shadow Cloak or its morphs.,,39,,,,,,50,,,36552,45115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Dark Vigor,Shadow,Increases your Max Health by 2% for each Shadow ability slotted.,Shadow-Dark Vigor,45084,11.0.5,"* Increased the Max Health from this passive to 2/5% per Shadow ability slotted, up from 2/3% per ability.",Passive Effect,Passive,Increase Max Health,Increases your Max Health by 5% for each Shadow ability slotted.,,22,,,,,,36,,,36532,45084,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Dawnbreaker,Fighters Guild,"Arm yourself with Meridia's sacred sword and dispense her retribution, dealing [7687 / 7771 / 7856 / 7940] Physical Damage to enemies in front of you and an additional [9216 / 9315 / 9414 / 9522] Physical Damage over 6 seconds.",Fighters Guild-Dawnbreaker,42566,1.1.2,* Slightly decreased the damage that this ability's higher ranks were doing.,Physical Damage,Ultimate,Damage Over Time,"Arm yourself with Meridia's sacred sword and dispense her retribution, dealing [9528 / 9632 / 9737 / 9842] Physical Damage to enemies in front of you, an additional [11427 / 11553 / 11682 / 11802] Physical Damage over 6 seconds, and stunning them for 2 seconds.",Area of Effect,,10,125 Ultimate,Cone,0.4 seconds,Increase Weapon Damage,,ON-item-Dawnbreaker.jpg,Dawnbreaker,,,"Arm yourself with Meridia's sacred sword and dispense her retribution, dealing 7940 Physical Damage to enemies in front of you and an additional 9525 Physical Damage over 6 seconds. After activating, your Weapon Damage and Spell Damage is increased by 300 for [14 / 16 / 18 / 20] seconds.",Flawless Dawnbreaker,42586,"After activating, your Weapon Damage and Spell Damage is increased.",Dawnbreaker of Smiting,42598,Fighters Guild-Dawnbreaker of Smiting,Increases the damage and stuns enemies hit.,Fighters Guild-Flawless Dawnbreaker,Increase Spell Damage,,6 seconds,Stun,,,Ultimate Cost,10 meters,,,,,,,,,,
Online:Deadly Bash,One Hand and Shield,"WITH ONE HAND WEAPON AND SHIELD EQUIPPED Improves your standard Bash attacks, causing them to deal 250 more damage and cost 25% less Stamina.",One Hand and Shield-Deadly Bash,45469,1.1.2,"* Fixed an issue where the damage bonus coupled with a ""bashing"" jewelry enchant was doing too much damage. Slightly decreased this ability's stamina cost reduction. * Those who have spent Skill Points in the Deadly Bash passive will have those points returned to their overall skill point pool. You may place those Skill Points back in this ability if you wish, or invest them elsewhere.",Passive Effect,Passive,Increase Damage Dealt,"WITH ONE HAND WEAPON AND SHIELD EQUIPPED Improves your standard Bash attacks, causing them to deal 500 more damage and cost 50% less Stamina.",Reduce Activity Cost,17,,,,,,28,,,29415,45469,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Death Gleaning,Bone Tyrant,"WITH A BONE TYRANT ABILITY SLOTTED Whenever an enemy you are in combat with dies within 28 meters of you, restore 333 Magicka and Stamina.",Bone Tyrant-Death Gleaning,116235,8.3.5,"* This passive now restores 333/666 Magicka and Stamina when a nearby enemy dies, up from 100/200. **Developer Comment: For masters of death, Necromancers can often find themselves out of fuel even when there are corpses littering the battlefield. To try and remedy this without tipping the scales too far in areas where Necromancer is already doing well, we're increasing these bonuses by a decent amount.",Kill Bonus,Passive,Restore Magicka,"WITH A BONE TYRANT ABILITY SLOTTED Whenever an enemy you are in combat with dies within 28 meters of you, restore 666 Magicka and Stamina.",Restore Stamina,8,,,,,Passive Effect,18,,,,,,,,,,,,,,,Elsweyr,,,,,,,,,,,,,,,,
Online:Death Knell,Grave Lord,WITH A GRAVE LORD ABILITY SLOTTED Increases your Critical Strike Chance against enemies under 33% Health by 10%.,Grave Lord-Death Knell,116198,7.0.5,"* Reduced the amount of Critical Chance granted from this passive to 2/4% per Grave Lord ability slotted, down from 5/10%.",Execute,Passive,Spell Critical,WITH A GRAVE LORD ABILITY SLOTTED Increases your Critical Strike Chance against enemies under 33% Health by 20%.,Weapon Critical,14,,,,,Passive Effect,27,,,116197,116198,,,,,,,,,,,Elsweyr,,,,,,,,,,,,,,,,
Online:Death Scythe,Bone Tyrant,"Slice into your enemy's life force, dealing [4612 / 4662 / 4713 / 4764] Magic Damage. You heal for 2400 Health for the first enemy hit, and an additional 800 for each additional enemy hit, up to five times. The healing of this ability scales off your Max Health.",Bone Tyrant-Death Scythe,40115115,8.0.5,"* Ruinous Scythe (morph): ** This morph now deals Bleed Damage, rather than Physical. ** This morph now applies the Hemorrhaging status effect on damage dealt. ** This morph now sets all enemies Off Balance on hit, rather than every 3rd cast.",Area of Effect,,Magic Damage,"Cost: [3240 / 3150 / 3060 / 2970] Magicka. Slice into your enemy's life force, dealing 4764 Magic Damage. You heal for 2400 Health for the first enemy hit, and an additional 800 for each additional enemy, up to five times. After dealing damage, you heal for 990 Health every 2 seconds over 10 seconds. The healing of this ability scales off your Max Health.",Heal Self,,1,3240 Magicka,Cone,Instant,Bleed Damage,,ON-skill-Death Scythe.jpg,Death Scythe and its morphs,,,"Cost: 2754 Stamina. Slice into your enemy's life force, dealing [4764 / 4816 / 4868 / 4921] Bleed Damage, applying the Hemorrhaging status effect, and setting them Off Balance for 7 seconds. You heal for 2400 Health for the first enemy hit, and an additional 800 for each additional enemy, up to five times. The healing of this ability scales off your Max Health.",Ruinous Scythe,40118226,"Converts to a Stamina ability and deals Bleed Damage, applying the Hemorrhaging status effect. Enemies hit are set Off Balance.",Hungry Scythe,40118223,Bone Tyrant-Hungry Scythe,Gain a heal over time and reduces the cost as the ability ranks up.,Bone Tyrant-Ruinous Scythe,Apply Status Effect,Elsweyr,,Off-Balance,Magicka,,Stamina Cost,7 meters,,,Magicka Cost,,,,,,,
Online:Death Stroke,Assassination,"Ravage an enemy with a swift strike, dealing [9840 / 9948 / 10056 / 10164] Magic Damage and causing them to take 20% more damage from your attacks for 8 seconds.",Assassination-Death Stroke,37518,1.1.2,* This ability no longer receives the critical damage bonus when used as a sneak attack. It will still cause a stun and a guaranteed critical hit.,Magic Damage,Ultimate,Increase Damage Taken,"Ravage an enemy with a spinning attack, dealing 10164 Magic Damage and increasing your damage against them by 20% for 8 seconds. Also afflicts the enemy with Major Defile, reducing their healing received and damage shield strength by 12%. While slotted on either bar, any time you kill an enemy you gain [7 / 8 / 9 / 10] Ultimate.",Disease Damage,,12,70 Ultimate,Enemy,0.4 seconds,Stun,,ON-skill-Death Stroke under120.jpg,Death Stroke and its morphs' under 120 Ultimate cast visual,,,"Ravage an enemy with a swift strike, dealing [10164 / 10275 / 10387 / 10499] Disease Damage and causing them to take 20% more damage from your attacks for 8 seconds. If cast with 120 or more Ultimate, you instead deal [11180 / 11302 / 11425 / 11548] Disease Damage, stun the enemy for 3 seconds, and increase the duration of the damage taken effect to 12 seconds.",Incapacitating Strike,37532,Deals Disease Damage. Improves the ability significantly if cast with more Ultimate.,Soul Harvest,37545,Assassination-Soul Harvest,"Also afflicts the enemy with Major Defile. While slotted on either bar, gain Ultimate whenever you kill an enemy.",Assassination-Incapacitating Strike,Increase Damage Dealt,,,Reduce Healing,,7 meters,Slotted Effect,,,,Kill Bonus,,,,Ultimate Gain,,,
